dataset_id,factor_ids,asset,interface,wind_code,fields,table_name,options,frequency,calendar,enabled,code_status,search_hint,notes
fx_spot_usdcny,FX-PRICE-MOM|FX-RATE|FX-FIX,FX,WSD,USDCNY.FX,close,,Days=Trading;Fill=Blank;Period=D,D,SSE,1,candidate_verify,美元兑人民币即期收盘,在岸即期候选代码需终端验证
fx_spot_usdcnh,FX-PRICE-MOM|FX-FIX|FX-RISK,FX,WSD,USDCNH.FX,close,,Days=Trading;Fill=Blank;Period=D,D,HKEX,1,candidate_verify,美元兑离岸人民币即期收盘,离岸即期候选代码需终端验证
fx_spot_usdjpy,FX-PRICE-MOM|FX-RATE|FX-CARRY,FX,WSD,USDJPY.FX,close,,Days=Trading;Fill=Blank;Period=D,D,NYSE,1,candidate_verify,美元兑日元即期收盘,全球外汇候选代码需终端验证
fx_spot_audusd,FX-PRICE-MOM|FX-RATE|FX-COMMODITY,FX,WSD,AUDUSD.FX,close,,Days=Trading;Fill=Blank;Period=D,D,NYSE,1,candidate_verify,澳元兑美元即期收盘,全球外汇候选代码需终端验证
fx_spot_eurusd,FX-PRICE-MOM|FX-RATE|FX-CARRY,FX,WSD,EURUSD.FX,close,,Days=Trading;Fill=Blank;Period=D,D,NYSE,1,candidate_verify,欧元兑美元即期收盘,全球外汇候选代码需终端验证
fx_usdcny_fix,FX-FIX,FX,EDB,,,,Fill=Blank,D,SSE,0,needs_generator,人民币汇率中间价美元兑人民币,需确认中间价而非即期收盘
fx_cfets_basket,FX-FIX|FX-VALUE,FX,EDB,,,,Fill=Blank,D,SSE,0,needs_generator,CFETS人民币汇率指数,指数口径需固定
fx_neer_usd,FX-VALUE,FX,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,BIS美元名义有效汇率,月度慢变量
fx_reer_usd,FX-VALUE,FX,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,BIS美元实际有效汇率,月度慢变量
fx_reer_cny,FX-VALUE,FX,EDB,,,,Fill=Blank,M,SSE,0,needs_generator,BIS人民币实际有效汇率,月度慢变量
fx_reer_jpy,FX-VALUE,FX,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,BIS日元实际有效汇率,月度慢变量
fx_reer_aud,FX-VALUE,FX,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,BIS澳元实际有效汇率,月度慢变量
fx_reer_eur,FX-VALUE,FX,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,BIS欧元实际有效汇率,月度慢变量
fx_fwd_usdcny_1m,FX-CARRY|FX-FIX,FX,EDB,,,,Fill=Blank,D,SSE,0,needs_generator,美元兑人民币1个月远期点买价卖价,优先可执行bid ask
fx_fwd_usdcnh_1m,FX-CARRY|FX-FIX,FX,EDB,,,,Fill=Blank,D,HKEX,0,needs_generator,美元兑离岸人民币1个月远期点买价卖价,与在岸分开
fx_fwd_usdjpy_1m,FX-CARRY,FX,EDB,,,,Fill=Blank,D,NYSE,0,needs_generator,美元兑日元1个月远期点买价卖价,确认点数单位
fx_fwd_audusd_1m,FX-CARRY,FX,EDB,,,,Fill=Blank,D,NYSE,0,needs_generator,澳元兑美元1个月远期点买价卖价,确认报价方向
fx_fwd_eurusd_1m,FX-CARRY,FX,EDB,,,,Fill=Blank,D,NYSE,0,needs_generator,欧元兑美元1个月远期点买价卖价,确认报价方向
fx_iv_usdcny_1m,FX-VOL-SKEW|FX-RISK,FX,EDB,,,,Fill=Blank,D,SSE,0,needs_generator,美元兑人民币1个月ATM隐含波动率,确认在岸离岸
